"questions","keys","datadic","value","valuelabels"
"19. I am very expressive and emotional. ","ICU_SR_19","ICU_SR","0-3","3=Not at all true,2=Somewhat true, 1=Very true, 0=Definitely true"
"20. I do not like to put the time into doing things well.","ICU_SR_20","ICU_SR","0-3","0=Not at all true,1=Somewhat true, 2=Very true, 3=Definitely true"
"21. The feelings of others are unimportant to me.","ICU_SR_21","ICU_SR","0-3","0=Not at all true,1=Somewhat true, 2=Very true, 3=Definitely true"
"22. I hide my feelings from others. ","ICU_SR_22","ICU_SR","0-3","0=Not at all true,1=Somewhat true, 2=Very true, 3=Definitely true"
"23. I work hard on everything I do. ","ICU_SR_23","ICU_SR","0-3","3=Not at all true,2=Somewhat true, 1=Very true, 0=Definitely true"
"24. I do things to make others feel good. ","ICU_SR_24","ICU_SR","0-3","3=Not at all true,2=Somewhat true, 1=Very true, 0=Definitely true"
"Scores","","ICU_SR","",""
"Total Score","ICU_SR_Total","ICU_SR","",""
"Weekdays Web Surfing Frequency","IUQ_Wd_WebSurf_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Web Surfing Hours per Day","IUQ_Wd_WebSurf_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Web Surfing primary time of Day","IUQ_Wd_WebSurf_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Web Surfing primary device","IUQ_Wd_WebSurf_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Web Surfing parent monitor","IUQ_Wd_WebSurf_Monitor","IUQ_P","Yes, No",""
"Weekdays Web Surfing parent restriction","IUQ_Wd_WebSurf_Restrict","IUQ_P","Yes, No",""
"Weekend Web Surfing Frequency ","IUQ_We_WebSurf_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Web Surfing Hours per Day","IUQ_We_WebSurf_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Web Surfing primary time of Day","IUQ_We_WebSurf_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Web Surfing primary device","IUQ_We_WebSurf_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Web Surfing parent monitor","IUQ_We_WebSurf_Monitor","IUQ_P","Yes, No",""
"Weekend Web Surfing parent restriction","IUQ_We_WebSurf_Restrict","IUQ_P","Yes, No",""
"Weekdays Online Gaming Frequency","IUQ_Wd_Game_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Online Gaming Hours per Day","IUQ_Wd_Game_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Online Gaming primary time of Day","IUQ_Wd_Game_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Online Gaming primary device","IUQ_Wd_Game_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Online Gaming parent monitor","IUQ_Wd_Game_Monitor","IUQ_P","Yes, No",""
"Weekdays Online Gaming parent restriction","IUQ_Wd_Game_Restrict","IUQ_P","Yes, No",""
"Weekend Online Gaming Frequency ","IUQ_We_Game_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Online Gaming Hours per Day","IUQ_We_Games_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Online Gaming primary time of Day","IUQ_We_Game_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Online Gaming primary device","IUQ_We_Game_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Online Gaming parent monitor","IUQ_We_Games_Monitor","IUQ_P","Yes, No",""
"Weekend Online Gaming parent restriction","IUQ_We_Games_Restrict","IUQ_P","Yes, No",""
"Weekdays Social Media Frequency","IUQ_Wd_Social_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Social Media Hours per Day","IUQ_Wd_Social_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Social Media primary time of Day","IUQ_Wd_Social_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Social Media primary device","IUQ_Wd_Social_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Social Media parent monitor","IUQ_Wd_Social_Monitor","IUQ_P","Yes, No",""
"Weekdays Social Media parent restriction","IUQ_Wd_Social_Restrict","IUQ_P","Yes, No",""
"Weekend Social Media Frequency ","IUQ_We_Social_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Social Media Hours per Day","IUQ_We_Social_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Social Media primary time of Day","IUQ_We_Social_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Social Media primary device","IUQ_We_Social_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Social Media parent monitor","IUQ_We_Social_Monitor","IUQ_P","Yes, No",""
"Weekend Social Media parent restriction","IUQ_We_Social_Restrict","IUQ_P","Yes, No",""
"Weekdays Sexual Activity Frequency","IUQ_Wd_Sexual_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Sexual Activity Hours per Day","IUQ_Wd_Sexual_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Sexual Activity primary time of Day","IUQ_Wd_Sexual_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Sexual Activity primary device","IUQ_Wd_Sexual_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Sexual Activity parent monitor","IUQ_Wd_Sexual_Monitor","IUQ_P","Yes, No",""
"Weekdays Sexual Activity parent restriction","IUQ_Wd_Sexual_Restrict","IUQ_P","Yes, No",""
"Weekend Sexual Activity Frequency ","IUQ_We_Sexual_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Sexual Activity Hours per Day","IUQ_We_Sexual_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Sexual Activity primary time of Day","IUQ_We_Sexual_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Sexual Activity primary device","IUQ_We_Sexual_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Sexual Activity parent monitor","IUQ_We_Sexual_Monitor","IUQ_P","Yes, No",""
"Weekend Sexual Activity parent restriction","IUQ_We_Sexual_Restrict","IUQ_P","Yes, No",""
"Weekdays Gambling Frequency","IUQ_Wd_Gamble_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Gambling Hours per Day","IUQ_Wd_Gamble_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Gambling primary time of Day","IUQ_Wd_Gamble_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Gambling primary device","IUQ_Wd_Gameble_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Gambling parent monitor","IUQ_Wd_Gamble_Monitor","IUQ_P","Yes, No",""
"Weekdays Gambling parent restriction","IUQ_Wd_Gamble_Restrict","IUQ_P","Yes, No",""
"Weekend Gambling Frequency ","IUQ_We_Gamble_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Gambling Hours per Day","IUQ_We_Gamble_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Gambling primary time of Day","IUQ_We_Gamble_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Gambling primary device","IUQ_We_Gameble_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Gambling parent monitor","IUQ_We_Gamble_Monitor","IUQ_P","Yes, No",""
"Weekend Gambling parent restriction","IUQ_We_Gamble_Restrict","IUQ_P","Yes, No",""
"Weekdays Texting/Messaging Frequency","IUQ_Wd_Text_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Texting/Messaging Hours per Day","IUQ_Wd_Text_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Texting/Messaging primary time of Day","IUQ_Wd_Text_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Texting/Messaging primary device","IUQ_Wd_Text_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Texting/Messaging parent monitor","IUQ_Wd_Text_Monitor","IUQ_P","Yes, No",""
"Weekdays Texting/Messaging parent restriction","IUQ_Wd_Text_Restrict","IUQ_P","Yes, No",""
"Weekend Texting/Messaging Frequency ","IUQ_We_Text_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Texting/Messaging Hours per Day","IUQ_We_Text_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Texting/Messaging primary time of Day","IUQ_We_Text_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Texting/Messaging primary device","IUQ_We_Text_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Texting/Messaging parent monitor","IUQ_We_Text_Monitor","IUQ_P","Yes, No",""
"Weekend Texting/Messaging parent restriction","IUQ_We_Text_Restrict","IUQ_P","Yes, No",""
"Weekdays Homework Frequency","IUQ_Wd_HomeWork_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Homework Hours per Day","IUQ_Wd_HomeWork_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Homework primary time of Day","IUQ_Wd_HomeWork_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Homework primary device","IUQ_Wd_Homework_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Homework parent monitor","IUQ_Wd_HomeWork_Monitor","IUQ_P","Yes, No",""
"Weekdays Homework parent restriction","IUQ_Wd_Homework_Restrict","IUQ_P","Yes, No",""
"Weekend Homework Frequency ","IUQ_We_HomeWork_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Homework Hours per Day","IUQ_We_HomeWork_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Homework primary time of Day","IUQ_We_HomeWork_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Homework primary device","IUQ_We_Homework_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Homework parent monitor","IUQ_We_HomeWork_Monitor","IUQ_P","Yes, No",""
"Weekend Homework parent restriction","IUQ_We_Homework_Restrict","IUQ_P","Yes, No",""
"Weekdays TV and Movies Frequency","IUQ_Wd_TV_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays TV and Movies Hours per Day","IUQ_Wd_TV_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays TV and Movies primary time of Day","IUQ_Wd_TV_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays TV and Movies primary device","IUQ_Wd_TV_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays TV and Movies parent monitor","IUQ_Wd_TV_Monitor","IUQ_P","Yes, No",""
"Weekdays TV and Movies parent restriction","IUQ_Wd_TV_Restrict","IUQ_P","Yes, No",""
"Weekend TV and Movies Frequency ","IUQ_We_TV_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend TV and Movies Hours per Day","IUQ_We_TV_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend TV and Movies primary time of Day","IUQ_We_TV_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend TV and Movies primary device","IUQ_We_TV_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend TV and Movies parent monitor","IUQ_We_TV_Monitor","IUQ_P","Yes, No",""
"Weekend TV and Movies parent restriction","IUQ_We_TV_Restrict","IUQ_P","Yes, No",""
"Weekdays Music Frequency","IUQ_Wd_Music_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Music Hours per Day","IUQ_Wd_Music_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Music primary time of Day","IUQ_Wd_Music_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Music primary device","IUQ_Wd_Music_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Music parent monitor","IUQ_Wd_Music_Monitor","IUQ_P","Yes, No",""
"Weekdays Music parent restriction","IUQ_Wd_Music_Restrict","IUQ_P","Yes, No",""
"Weekend Music Frequency ","IUQ_We_Music_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Music Hours per Day","IUQ_We_Music_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Music primary time of Day","IUQ_We_Music_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Music primary device","IUQ_We_Music_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Music parent monitor","IUQ_We_Music_Monitor","IUQ_P","Yes, No",""
"Weekend Music parent restriction","IUQ_We_Music_Restrict","IUQ_P","Yes, No",""
"Weekdays Reading and News Media Frequency","IUQ_Wd_Reading_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Reading and News Media Hours per Day","IUQ_Wd_Reading_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Reading and News Media primary time of Day","IUQ_Wd_Reading_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Reading and News Media primary device","IUQ_Wd_Reading_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Reading and News Media parent monitor","IUQ_Wd_Reading_Monitor","IUQ_P","Yes, No",""
"Weekdays Reading and News Media parent restriction","IUQ_Wd_Reading_Restrict","IUQ_P","Yes, No",""
"Weekend Reading and News Media Frequency ","IUQ_We_Reading_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Reading and News Media Hours per Day","IUQ_We_Reading_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Reading and News Media primary time of Day","IUQ_We_Reading_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Reading and News Media primary device","IUQ_We_Reading_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Reading and News Media parent monitor","IUQ_We_Reading_Monitor","IUQ_P","Yes, No",""
"Weekend Reading and News Media parent restriction","IUQ_We_Reading_Restrict","IUQ_P","Yes, No",""
"Other Activity Discription","IUQ_Other_Activity","IUQ_P","",""
"Weekdays Other Frequency","IUQ_Wd_Other_Freq","IUQ_P","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Other Hours per Day","IUQ_Wd_Other_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Other primary time of Day","IUQ_Wd_Other_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekdays Other primary device","IUQ_Wd_Other_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Other parent monitor","IUQ_Wd_Other_Monitor","IUQ_P","Yes, No",""
"Weekdays Other parent restriction","IUQ_Wd_Other_Restrict","IUQ_P","Yes, No",""
"Weekend Other Frequency ","IUQ_We_Other_Freq","IUQ_P","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Other Hours per Day","IUQ_We_Other_Hrs","IUQ_P","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Other primary time of Day","IUQ_We_Other_Time","IUQ_P","Morning, Afternoon, Evening ",""
"Weekend Other primary device","IUQ_We_Other_Device","IUQ_P","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Other parent monitor","IUQ_We_Other_Monitor","IUQ_P","Yes, No",""
"Weekend Other parent restriction","IUQ_We_Other_Restrict","IUQ_P","Yes, No",""
"On a scale of 1-10, please rate how problematic your child's internet use is for the following activities, with 1 being not a problem and 10 being a serious problem. If your child does not participate in the activity, select N/A","","IUQ_P","",""
"Web Surfing ","IUQ_Web_Surfing","IUQ_P","",""
"Online Gambling ","IUQ_Online_Game","IUQ_P","",""
"Social Media ","IUQ_Social_Media","IUQ_P","",""
"Sexual Activity/Pornography","IUQ_Sexual_Activity","IUQ_P","",""
"Gambling","IUQ_Gambling","IUQ_P","",""
"Texting/Messaging ","IUQ_Texting","IUQ_P","",""
"Homework","IUQ_Homework","IUQ_P","",""
"TV and Movies","IUQ_TV_Movies","IUQ_P","",""
"Music ","IUQ_Music","IUQ_P","",""
"Reading and News Media","IUQ_Reading_News","IUQ_P","",""
"Other Activity Discription","IUQ_Other_Desc","IUQ_P","",""
"Other","IUQ_Other","IUQ_P","",""
"Weekdays Web Surfing Frequency","IUQ_Wd_WebSurf_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Web Surfing Hours per Day","IUQ_Wd_WebSurf_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Web Surfing primary time of Day","IUQ_Wd_WebSurf_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Web Surfing primary device","IUQ_Wd_WebSurf_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Web Surfing parent monitor","IUQ_Wd_WebSurf_Monitor","IUQ_SR","Yes, No",""
"Weekdays Web Surfing parent restriction","IUQ_Wd_WebSurf_Restrict","IUQ_SR","Yes, No",""
"Weekend Web Surfing Frequency ","IUQ_We_WebSurf_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Web Surfing Hours per Day","IUQ_We_WebSurf_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Web Surfing primary time of Day","IUQ_We_WebSurf_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Web Surfing primary device","IUQ_We_WebSurf_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Web Surfing parent monitor","IUQ_We_WebSurf_Monitor","IUQ_SR","Yes, No",""
"Weekend Web Surfing parent restriction","IUQ_We_WebSurf_Restrict","IUQ_SR","Yes, No",""
"Weekdays Online Gaming Frequency","IUQ_Wd_Game_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Online Gaming Hours per Day","IUQ_Wd_Game_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Online Gaming primary time of Day","IUQ_Wd_Game_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Online Gaming primary device","IUQ_Wd_Game_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Online Gaming parent monitor","IUQ_Wd_Game_Monitor","IUQ_SR","Yes, No",""
"Weekdays Online Gaming parent restriction","IUQ_Wd_Game_Restrict","IUQ_SR","Yes, No",""
"Weekend Online Gaming Frequency ","IUQ_We_Game_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Online Gaming Hours per Day","IUQ_We_Games_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Online Gaming primary time of Day","IUQ_We_Game_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Online Gaming primary device","IUQ_We_Game_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Online Gaming parent monitor","IUQ_We_Games_Monitor","IUQ_SR","Yes, No",""
"Weekend Online Gaming parent restriction","IUQ_We_Games_Restrict","IUQ_SR","Yes, No",""
"Weekdays Social Media Frequency","IUQ_Wd_Social_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Social Media Hours per Day","IUQ_Wd_Social_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Social Media primary time of Day","IUQ_Wd_Social_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Social Media primary device","IUQ_Wd_Social_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Social Media parent monitor","IUQ_Wd_Social_Monitor","IUQ_SR","Yes, No",""
"Weekdays Social Media parent restriction","IUQ_Wd_Social_Restrict","IUQ_SR","Yes, No",""
"Weekend Social Media Frequency ","IUQ_We_Social_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Social Media Hours per Day","IUQ_We_Social_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Social Media primary time of Day","IUQ_We_Social_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Social Media primary device","IUQ_We_Social_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Social Media parent monitor","IUQ_We_Social_Monitor","IUQ_SR","Yes, No",""
"Weekend Social Media parent restriction","IUQ_We_Social_Restrict","IUQ_SR","Yes, No",""
"Weekdays Sexual Activity Frequency","IUQ_Wd_Sexual_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Sexual Activity Hours per Day","IUQ_Wd_Sexual_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Sexual Activity primary time of Day","IUQ_Wd_Sexual_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Sexual Activity primary device","IUQ_Wd_Sexual_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Sexual Activity parent monitor","IUQ_Wd_Sexual_Monitor","IUQ_SR","Yes, No",""
"Weekdays Sexual Activity parent restriction","IUQ_Wd_Sexual_Restrict","IUQ_SR","Yes, No",""
"Weekend Sexual Activity Frequency ","IUQ_We_Sexual_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Sexual Activity Hours per Day","IUQ_We_Sexual_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Sexual Activity primary time of Day","IUQ_We_Sexual_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Sexual Activity primary device","IUQ_We_Sexual_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Sexual Activity parent monitor","IUQ_We_Sexual_Monitor","IUQ_SR","Yes, No",""
"Weekend Sexual Activity parent restriction","IUQ_We_Sexual_Restrict","IUQ_SR","Yes, No",""
"Weekdays Gambling Frequency","IUQ_Wd_Gamble_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Gambling Hours per Day","IUQ_Wd_Gamble_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Gambling primary time of Day","IUQ_Wd_Gamble_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Gambling primary device","IUQ_Wd_Gameble_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Gambling parent monitor","IUQ_Wd_Gamble_Monitor","IUQ_SR","Yes, No",""
"Weekdays Gambling parent restriction","IUQ_Wd_Gamble_Restrict","IUQ_SR","Yes, No",""
"Weekend Gambling Frequency ","IUQ_We_Gamble_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
"Weekend Gambling Hours per Day","IUQ_We_Gamble_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekend Gambling primary time of Day","IUQ_We_Gamble_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekend Gambling primary device","IUQ_We_Gameble_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekend Gambling parent monitor","IUQ_We_Gamble_Monitor","IUQ_SR","Yes, No",""
"Weekend Gambling parent restriction","IUQ_We_Gamble_Restrict","IUQ_SR","Yes, No",""
"Weekdays Texting/Messaging Frequency","IUQ_Wd_Text_Freq","IUQ_SR","Never, 1-2 Days/Week, 2-4 Days/Week, Everyday",""
"Weekdays Texting/Messaging Hours per Day","IUQ_Wd_Text_Hrs","IUQ_SR","0 Hrs/Day, 1-3 Hrs/Day, 4-6 Hrs/Day, 7-9 Hrs/Day, 10+ Hrs/Day, ",""
"Weekdays Texting/Messaging primary time of Day","IUQ_Wd_Text_Time","IUQ_SR","Morning, Afternoon, Evening ",""
"Weekdays Texting/Messaging primary device","IUQ_Wd_Text_Device","IUQ_SR","Computer, Laptop, Tablet, Phone, Other",""
"Weekdays Texting/Messaging parent monitor","IUQ_Wd_Text_Monitor","IUQ_SR","Yes, No",""
"Weekdays Texting/Messaging parent restriction","IUQ_Wd_Text_Restrict","IUQ_SR","Yes, No",""
"Weekend Texting/Messaging Frequency ","IUQ_We_Text_Freq","IUQ_SR","Never, Saturday and Sunday, Sunday Only, Saturday Only",""
